phrasal_verb,example,description
call at,He’s been called to a meeting with the vice-president.,"['if a train, bus, or ship calls somewhere, it stops there during its journey', 'if an animal calls, it makes the sound it usually makes', 'to announce that an event such as a meeting or election is going to happen', 'to announce that passengers should go to their plane because it will soon be leaving', 'to ask or tell someone to come to a place, usually so that you can talk to them', 'to criticize someone, or to say unpleasant things about them', 'to describe or refer to someone or something in a particular way', 'to describe yourself in a particular way', 'to give someone or something a name or title', 'to make an animal come towards you by making the sound it usually makes', 'to make an official decision about something that happens in a sports game', 'to order someone to be present or give evidence in a court of law', 'to say loudly the names or numbers on a list', 'to say that something is a particular amount, although this is not the exact amount', 'to say what you think will happen, for example in politics or business', 'to say which of the four suits of cards will be trumps (=cards with a higher value) in a card game', 'to say which side of a coin you think will be showing when it comes down after being tossed in the air', 'to speak loudly, or to shout to someone who is not near you', 'to stop at a place on your way to another place, usually so that you can do something', 'to telephone a person or organization that provides a service and ask them to come', 'to telephone someone', 'to tell dancers which movements to make, especially for a square dance', 'to tell someone that they must show their cards in some card games', 'to use a particular name or title for someone', 'to visit someone, usually for a short time']"
call away,The doctor has been called away to deal with an emergency.,"['to ask someone to leave a place, usually by telephoning them or sending them a message']"
call away,"He was called away unexpectedly today, which is why I came to meet you instead.","['to ask someone to leave a place, usually by telephoning them or sending them a message']"
call back,I’ll call back later and see how you are.,"['to ask someone who is trying to get a job, a part in a play etc to return for another interview or audition', 'to go and see someone again, usually for a short time', 'to telephone someone again, or to telephone someone who telephoned you earlier']"
call back,They’ve called him back for a second interview.,"['to ask someone who is trying to get a job, a part in a play etc to return for another interview or audition', 'to go and see someone again, usually for a short time', 'to telephone someone again, or to telephone someone who telephoned you earlier']"
call by,Do you want me to call by tomorrow?,"['to visit someone, usually for a short time']"
call for,I really don’t think that remark was called for!,"['to go somewhere and get someone or something in order to take them to another place', 'to make something necessary or suitable', 'to say publicly that something must happen']"
call for,Several of the newspapers were calling for his resignation.,"['to go somewhere and get someone or something in order to take them to another place', 'to make something necessary or suitable', 'to say publicly that something must happen']"
call in,"It’s a hot topic, and people have been calling in all morning.","['same as call', 'to ask a person or organization that provides a service to come and deal with something', 'to ask or tell someone to come to a place, usually so that you can talk to them', 'to ask someone to help you because you helped them in the past', 'to ask someone to pay you the money that you lent them', 'to telephone a radio or television programme with a comment or question', 'to telephone the place where you work and say where you are or what you are doing', 'to telephone the place where you work and say you will not come to work because you are ill']"
call in,"Al is at a conference this week, but he calls in every day.","['same as call', 'to ask a person or organization that provides a service to come and deal with something', 'to ask or tell someone to come to a place, usually so that you can talk to them', 'to ask someone to help you because you helped them in the past', 'to ask someone to pay you the money that you lent them', 'to telephone a radio or television programme with a comment or question', 'to telephone the place where you work and say where you are or what you are doing', 'to telephone the place where you work and say you will not come to work because you are ill']"
call off,"Well, Bruce wouldn't be needing it now; jellyback that he was, he would call off killing Mrs Jones now the police had been to visit him.","['to decide that something will not happen', 'to decide to stop something that is already happening', 'to stop criticizing or attacking another person', 'to tell an animal or person to stop attacking or chasing someone']"
call off,And the first thing I'm telling you to do is to call off your creature that has assumed the form of an angel.,"['to decide that something will not happen', 'to decide to stop something that is already happening', 'to stop criticizing or attacking another person', 'to tell an animal or person to stop attacking or chasing someone']"
call on,The human rights group has called on the US to end the death penalty.,"['to ask someone to prove a statement they have made', 'to decide to use something that someone can offer you', 'to officially ask a person or organization to do something', 'to produce a particular quality in yourself, especially by making a great effort', 'to visit someone, usually for a short time']"
call on,We may need to call on professional help.,"['to ask someone to prove a statement they have made', 'to decide to use something that someone can offer you', 'to officially ask a person or organization to do something', 'to produce a particular quality in yourself, especially by making a great effort', 'to visit someone, usually for a short time']"
call out,"She was going to stand up and call out to them, but she changed her mind and just watched them go.","['to ask a person or organization that provides a service to come and deal with something for you', 'to challenge someone over something they have said or done', 'to shout something, especially when you are trying to get someone’s attention']"
call out,"Alternatively, we can call out for pizza to be delivered to reception.","['to ask a person or organization that provides a service to come and deal with something for you', 'to challenge someone over something they have said or done', 'to shout something, especially when you are trying to get someone’s attention']"
call round,"I called round yesterday, but you weren’t in.",['same as call']
call up,Jean-Paul had received his call-up papers and disappeared.,"['to ask someone to play in a sports team, especially in an international match', 'to make information in a computer appear on the screen', 'to make you remember something', 'to officially make someone become a member of the armed forces, especially in a war', 'to telephone someone', 'to use magic to try to make the spirit of a dead person appear']"
call up,"Before his call-up, he had told her, he had run a market stall.","['to ask someone to play in a sports team, especially in an international match', 'to make information in a computer appear on the screen', 'to make you remember something', 'to officially make someone become a member of the armed forces, especially in a war', 'to telephone someone', 'to use magic to try to make the spirit of a dead person appear']"
call upon,You could be called upon to make a short speech.,['same as call on']
calm down,She managed to calm him down.,"['if a situation calms down, there is less activity and people are less busy', 'to begin to feel more relaxed and less emotional, or to make someone do this']"
calm down,Calm down and tell us what’s going on.,"['if a situation calms down, there is less activity and people are less busy', 'to begin to feel more relaxed and less emotional, or to make someone do this']"
camp out,They camped out on the pavement in front of his office.,"['same as camp', 'to sleep outside, with or without a tent or other shelter', 'to stay in a place without the furniture and equipment that you normally have']"
camp out,He planned to camp out in the wild.,"['same as camp', 'to sleep outside, with or without a tent or other shelter', 'to stay in a place without the furniture and equipment that you normally have']"
cancel out,Our votes will cancel each other out.,['to stop something from having any effect']
capitalize on,He is trying to capitalize on popular discontent with the government.,['to use an event or a situation to help you to achieve something or to get an advantage']
care for,She made him feel special and cared for.,"['to do the necessary things for someone who needs help or protection', 'to love someone, especially in a way that is based on friendship rather than sex', 'to treat something carefully so that it stays in good condition']"
care for,Your clothes won’t last if you don’t care for them properly.,"['to do the necessary things for someone who needs help or protection', 'to love someone, especially in a way that is based on friendship rather than sex', 'to treat something carefully so that it stays in good condition']"
carry off,"At last week’s Oscars, a small number of films carried off nearly all the prizes.","['to deal successfully with something difficult', 'to win a prize']"
carry off,Both actors have the stylish self-confidence needed to carry off these roles.,"['to deal successfully with something difficult', 'to win a prize']"
carry on,When they walked out of the bookshop Newman made a tremendous effort to carry on a normal conversation.,"['if two people are carrying on, they are having a sexual relationship that you do not approve of', 'to behave in an angry, excited, or emotional way', 'to continue doing something', 'to continue going in the same direction', 'to continue something that someone else started']"
carry on,Turn left at the traffic lights and carry on up the high street.,"['if two people are carrying on, they are having a sexual relationship that you do not approve of', 'to behave in an angry, excited, or emotional way', 'to continue doing something', 'to continue going in the same direction', 'to continue something that someone else started']"
carry on with,For the moment we’ve been told to carry on as usual.,"['if two people are carrying on, they are having a sexual relationship that you do not approve of', 'to behave in an angry, excited, or emotional way', 'to continue doing something', 'to continue going in the same direction', 'to continue something that someone else started']"
carry on with,Just carry on with what you were doing.,"['if two people are carrying on, they are having a sexual relationship that you do not approve of', 'to behave in an angry, excited, or emotional way', 'to continue doing something', 'to continue going in the same direction', 'to continue something that someone else started']"
carry out,"When he passed the Chinese carry-out he stopped and looked in through the plate-glass window, disapproving sternly.","['to do a particular piece of work, research etc', 'to do something that you have said you will do or that you have been told to do']"
carry out,"But of course she would take a message, and he could rely on someone from the Agence to carry out his wishes.","['to do a particular piece of work, research etc', 'to do something that you have said you will do or that you have been told to do']"
carry over,"Tonight's scores will be carried over to next weekend, so they all get to dance again too.","['if something carries over or is carried over from one situation into another, it has the same effect in the new situation as it had in the old one', 'to take something that you earn or are given in one year or period of time into the next one']"
carry over,He deemed himself a carry-over from another age -- a classic robber-baron capitalist.,"['if something carries over or is carried over from one situation into another, it has the same effect in the new situation as it had in the old one', 'to take something that you earn or are given in one year or period of time into the next one']"
carry through,"In the end, it was her passionate belief in justice that carried her through.","['to complete something that was planned, often despite difficulties or opposition', 'to make it possible for someone to deal successfully with a difficult or unpleasant situation']"
carry through,"It’s a tough job, and we’re relying on you to carry it through.","['to complete something that was planned, often despite difficulties or opposition', 'to make it possible for someone to deal successfully with a difficult or unpleasant situation']"
cart off,I was carted off in an ambulance with the sirens blaring.,"['to take someone somewhere, especially to a prison or hospital']"
carve out,"Confidence, it's something stars have to carve out of stone every morning with a kitchen knife.",['to develop a career or position for yourself by working hard']
carve out,"She had meant to rent a room, make her own way, carve out a place.",['to develop a career or position for yourself by working hard']
carve up,"Hardly surprising, given the carve-up job matey had done on her in the kitchen.","['to attack and cut someone with a knife', 'to divide something such as land between different people or countries, especially in a way that seems unfair', 'to drive past another car that is travelling in the same direction as you and then move in front of it too soon']"
carve up,"`A right carve-up and no mistake, but what's it got to do with you?","['to attack and cut someone with a knife', 'to divide something such as land between different people or countries, especially in a way that seems unfair', 'to drive past another car that is travelling in the same direction as you and then move in front of it too soon']"
cash in,A simple job that paid cash in hand; that had been the offer.,"['to exchange something such as an insurance policy or share option for its value in money', 'to use an opportunity to make a profit or gain an advantage']"
cash in,"The border was a wild, hairy place, and Dehn had the nerve to cash in on it.","['to exchange something such as an insurance policy or share option for its value in money', 'to use an opportunity to make a profit or gain an advantage']"
cash in on,You will not receive the true value of your policy if you cash it in early.,"['to exchange something such as an insurance policy or share option for its value in money', 'to use an opportunity to make a profit or gain an advantage']"
cash in on,They accused her of trying to cash in on her daughter’s fame.,"['to exchange something such as an insurance policy or share option for its value in money', 'to use an opportunity to make a profit or gain an advantage']"
cast about for,"Casting around for a safe topic, she made a comment about the weather.","['to look for or try to think of something, especially when you feel pressure to do something quickly']"
cast around for,"Casting around for a safe topic, she made a comment about the weather.","['to look for or try to think of something, especially when you feel pressure to do something quickly']"
cast aside,From one minute to another a song that's hot can get cast aside indefinitely.,['to get rid of someone or something because it is no longer interesting or valuable to you']
cast aside,A lot of great players have one crack at management and get cast aside.,['to get rid of someone or something because it is no longer interesting or valuable to you']
cast off,"Everywhere, cast-off white ribbons from the sandals carpeted the ice.","['if a boat casts off, it is untied and moves away from the land', 'to finish a piece of knitting by removing the stitches from the needle and making a tidy edge', 'to get rid of someone or something', 'to untie the rope fastening your boat to the land so that you can sail away']"
cast off,Wears the worst collection of cast-off clothing you've ever seen?,"['if a boat casts off, it is untied and moves away from the land', 'to finish a piece of knitting by removing the stitches from the needle and making a tidy edge', 'to get rid of someone or something', 'to untie the rope fastening your boat to the land so that you can sail away']"
cast out,She hoped whatever it was that had looked like Peter wasn't cast out naked.,['to force someone or something to leave a place']
cast out,Some men said that one such as the Lord Rahl would come to cast out the Order when we asked.,['to force someone or something to leave a place']
cast up,He was searching for objects that had been cast up by the tides.,"['if the sea casts something up, the sea carries it somewhere and leaves it there']"
catch at,He caught at her arm as she tried to move away.,['to reach out and try to get hold of something']
catch on,"He climbed the ladder and cut the sling, allowing the full weight of the man to catch on the bound arms.","['to become popular or fashionable', 'to understand']"
catch on,"He didn't really catch on, Jolil thought, it was another reading exercise to him.","['to become popular or fashionable', 'to understand']"
catch out,He asked her casual questions to see if he could catch her out.,"['same as catch', 'to put someone in an unpleasant or difficult situation that they are not prepared for', 'to show that someone has made a mistake or is not telling the truth, especially by asking them questions']"
catch out,"The impact, mild though it was, knocked what breath she'd managed to catch out of Patience.","['same as catch', 'to put someone in an unpleasant or difficult situation that they are not prepared for', 'to show that someone has made a mistake or is not telling the truth, especially by asking them questions']"
catch up,Pressure grew for salaries to catch up with inflation.,"[""it's a phrase that means you should fill me in, you say it when you're missing out on something and you want to be filled in"", 'to do something that should have been done before', 'to go faster so that you reach the person or vehicle in front of you', 'to improve in order to reach the same standard or rate as someone or something', 'to talk to someone you have not seen for some time and find out what they have been doing']"
catch up,Staff are struggling to catch up with the backlog.,"[""it's a phrase that means you should fill me in, you say it when you're missing out on something and you want to be filled in"", 'to do something that should have been done before', 'to go faster so that you reach the person or vehicle in front of you', 'to improve in order to reach the same standard or rate as someone or something', 'to talk to someone you have not seen for some time and find out what they have been doing']"
catch up on,It’ll give them a chance to talk and catch up with all their news.,"[""it's a phrase that means you should fill me in, you say it when you're missing out on something and you want to be filled in"", 'to do something that should have been done before', 'to go faster so that you reach the person or vehicle in front of you', 'to improve in order to reach the same standard or rate as someone or something', 'to talk to someone you have not seen for some time and find out what they have been doing']"
catch up on,"""Have you heard the gossip?"" ""No not yet, catch me up"".","[""it's a phrase that means you should fill me in, you say it when you're missing out on something and you want to be filled in"", 'to do something that should have been done before', 'to go faster so that you reach the person or vehicle in front of you', 'to improve in order to reach the same standard or rate as someone or something', 'to talk to someone you have not seen for some time and find out what they have been doing']"
catch up with,The police will catch up with you sooner or later.,"['to begin to have an effect on someone', 'to find and arrest someone who has committed a crime after searching for them or chasing them']"
catch up with,"The lack of sleep caught up with her, and she began to doze off.","['to begin to have an effect on someone', 'to find and arrest someone who has committed a crime after searching for them or chasing them']"
cater for,The school aims to cater for children of all abilities.,['to provide people with everything they want or need']
cater for,Football fans are well catered for.,['to provide people with everything they want or need']
cater to,There are more and more TV shows catering to young male audiences.,"['to provide people with something they want or need, especially something unusual or special']"
cave in,"`But with the liner no longer there to support the roof, I'd expect that the whole seabed would cave in.","['if a roof or wall caves in, it falls down or inwards', 'to suddenly stop opposing something, especially because people have persuaded you']"
cave in,"For a long time I sat there, waiting for the world to cave in the way I thought it surely would.","['if a roof or wall caves in, it falls down or inwards', 'to suddenly stop opposing something, especially because people have persuaded you']"
centre around,The debate centred around the issue of finance.,"['if something centres around a place, or if you centre something around it, it happens mainly there', 'if something centres around someone or something, or if you centre something around them, they are its main subject of attention or interest']"
centre around,The celebrations will all centre around the church.,"['if something centres around a place, or if you centre something around it, it happens mainly there', 'if something centres around someone or something, or if you centre something around them, they are its main subject of attention or interest']"
chalk up,"Absurd, that a man of his experience couldn't accept her desertion, couldn't chalk up the episode with mild regret, shrug and move on.","['to achieve a particular level or number', 'to consider something as having a particular cause', 'to consider something bad that happens to you as an experience that will help you to deal better with similar situations in the future', 'to score points, or to achieve success in a game']"
chalk up,Maybe she'll let us chalk up another potato bug on the slate.,"['to achieve a particular level or number', 'to consider something as having a particular cause', 'to consider something bad that happens to you as an experience that will help you to deal better with similar situations in the future', 'to score points, or to achieve success in a game']"
chance on,I was browsing in a bookshop when I chanced upon an old friend.,['to find or see someone or something when you did not expect to']
chance upon,I was browsing in a bookshop when I chanced upon an old friend.,['to find or see someone or something when you did not expect to']
change around,She’s always changing the furniture around.,['to move things so that they are in different places or positions']
change back,She changed back into her painting clothes.,"['if something that has changed changes back, it returns to how it was originally', 'to put on the clothes you were wearing originally, before you took them off']"
change back,Do you think things will ever change back to the way they were?,"['if something that has changed changes back, it returns to how it was originally', 'to put on the clothes you were wearing originally, before you took them off']"
change into,The frog changed into a handsome prince.,"['in stories, if a person or thing changes into something, or is changed into something, they become that thing by magic', 'to stop being in one state, condition, or form and start being in another, or to make something do this']"
change into,At what point does boiling water change into vapour?,"['in stories, if a person or thing changes into something, or is changed into something, they become that thing by magic', 'to stop being in one state, condition, or form and start being in another, or to make something do this']"
change over,When did the UK change over to the metric system?,['to stop doing or using one thing and start doing or using something else']
change over,To change over completely to an economic method of administration while such a system of price formation remains in existence is impossible.,['to stop doing or using one thing and start doing or using something else']
chase away,The delighted looks on their faces presumably also help him chase away the suspicion that he is boring.,['to get rid of something unpleasant']
chase up,"It's one of your best days this week for intellectual pursuits, or for chasing up something that has eluded you.","['to ask someone who should have done something why they have not done it', 'to find out what is being done about something']"
chase up,Why don’t you chase up those software people today?,"['to ask someone who should have done something why they have not done it', 'to find out what is being done about something']"
chat up,I wanted to chat her up like I would chat up a cutie in a bar.,['to start a conversation with someone because you want to have a sexual or romantic relationship with them']
chat up,"fluent, I shall wander forth and chat up some of the local talent.",['to start a conversation with someone because you want to have a sexual or romantic relationship with them']
cheat on,He discovered she’d been cheating on him.,"['to cheat by not obeying the rules on something', 'to secretly have sex with someone other than your husband, wife, or partner. You can also say that someone is unfaithful to their husband, wife, or partner']"
cheat on,Her added kick is that her lover is cheating on his younger wife with an older woman.,"['to cheat by not obeying the rules on something', 'to secretly have sex with someone other than your husband, wife, or partner. You can also say that someone is unfaithful to their husband, wife, or partner']"
check against,The police are checking his fingerprints against their database.,['to find out whether information is accurate or useful by comparing it with other information']
check in,You must check in at least one hour before your flight.,"['same as check', 'to arrive at a hotel or a private hospital where you have arranged to stay and give your personal details to the person working at the reception desk', 'to arrive at an airport and show your ticket to an official', 'to deal with someone when they arrive at a hotel or a private hospital where they have arranged to stay, or at an airport from which they have arranged to fly', 'to use a smartphone to indicate on social media that you have arrived at a place']"
check in,"Then I remembered I had promised my sister I would call her at eleven to check in, to see how things were going.","['same as check', 'to arrive at a hotel or a private hospital where you have arranged to stay and give your personal details to the person working at the reception desk', 'to arrive at an airport and show your ticket to an official', 'to deal with someone when they arrive at a hotel or a private hospital where they have arranged to stay, or at an airport from which they have arranged to fly', 'to use a smartphone to indicate on social media that you have arrived at a place']"
check into,"Adrian Richards checked into the Theatre Royal, Norwich.","['to arrive at a hotel or a private hospital where you have arranged to stay and give your personal details to the person working at the reception desk', 'to try to find out more information about a particular subject', 'to use a smartphone to show on social media that you have arrived at a place']"
check into,I’ll check into the tours and see how much they cost.,"['to arrive at a hotel or a private hospital where you have arranged to stay and give your personal details to the person working at the reception desk', 'to try to find out more information about a particular subject', 'to use a smartphone to show on social media that you have arrived at a place']"
check off,"They were just formalities, something else to check off on the'things that normal people do ' list.",['to tick off something']
check off,"""In that case, could you let the officer on the door have your mailing list, so that he can check off arrivals?",['to tick off something']
check on,The boss arrived to check on our progress.,"['to look at someone or something so that you are certain they are safe, satisfactory etc']"
check on,I sent Michael to check on the kids.,"['to look at someone or something so that you are certain they are safe, satisfactory etc']"
check out,Their story just didn’t check out.,"['if information checks out, you feel that it is true after examining it', 'to borrow a book from a library', 'to examine someone or something in order to be certain that everything is correct, true, or satisfactory', 'to leave a hotel or a private hospital after paying the bill', 'to look at someone or something to see whether you like them', 'to pay for your goods before leaving a supermarket or other large shop']"
check out,Go to the doctor and get yourself checked out.,"['if information checks out, you feel that it is true after examining it', 'to borrow a book from a library', 'to examine someone or something in order to be certain that everything is correct, true, or satisfactory', 'to leave a hotel or a private hospital after paying the bill', 'to look at someone or something to see whether you like them', 'to pay for your goods before leaving a supermarket or other large shop']"
check out of,Go to the doctor and get yourself checked out.,"['if information checks out, you feel that it is true after examining it', 'to borrow a book from a library', 'to examine someone or something in order to be certain that everything is correct, true, or satisfactory', 'to leave a hotel or a private hospital after paying the bill', 'to look at someone or something to see whether you like them', 'to pay for your goods before leaving a supermarket or other large shop']"
check out of,Have you checked out the local sports centre yet?,"['if information checks out, you feel that it is true after examining it', 'to borrow a book from a library', 'to examine someone or something in order to be certain that everything is correct, true, or satisfactory', 'to leave a hotel or a private hospital after paying the bill', 'to look at someone or something to see whether you like them', 'to pay for your goods before leaving a supermarket or other large shop']"
check over,The nurse began checking him over.,"['same as check', 'to examine someone to find out whether there is anything wrong with them']"
check over,All written work should be checked over for spelling mistakes.,"['same as check', 'to examine someone to find out whether there is anything wrong with them']"
check up,I’m not sure what time the train leaves – we’d better check up.,['to make certain about something by checking it']
check up on,Are you checking up on me again?,"['to find out information about someone, especially secretly']"
cheer on,I’ll be there to cheer you on when the race starts.,['to shout loudly in order to encourage someone']
cheer up,This match represented so much more than an exercise in cheering up a team that had landed flat on their face three days earlier.,"['if you cheer a place up, you make it look brighter by adding colourful things', 'to become less sad, or to make someone feel less sad', 'used for telling someone to try to be happier']"
cheer up,Cheer up a dull room with fresh flowers.,"['if you cheer a place up, you make it look brighter by adding colourful things', 'to become less sad, or to make someone feel less sad', 'used for telling someone to try to be happier']"
chew on,The investors have several economic reports to chew on.,"['to think about something carefully for a long time, before making a decision about it']"
chew over,Officials meet regularly to chew over the future of the company.,['to think about something carefully or discuss it carefully with other people before making a decision about it']
chew over,"""I've got a client coming in any second, but I'd like to buy you a drink sometime, chew over some things.",['to think about something carefully or discuss it carefully with other people before making a decision about it']
chew up,He's like a disruptive puppy chewing up the furniture at school and getting himself into trouble.,"['if something gets chewed up, it becomes torn apart and destroyed', 'to chew something for a long time, until it is very soft or in very small pieces and easy to swallow']"
chew up,My new trousers got chewed up in my bike chain.,"['if something gets chewed up, it becomes torn apart and destroyed', 'to chew something for a long time, until it is very soft or in very small pieces and easy to swallow']"
chicken out,And there was an even more compelling reason why she couldn't chicken out.,['to not do something you were going to do because you are too frightened']
chicken out,"I was going to tell her how much it really cost, but I chickened out.",['to not do something you were going to do because you are too frightened']
chill out,"Calmez-vous, Bruce,' she said, getting desperate, `that's `` chill out ' in baby boomer.",['same as chill']
chill out,"Nice fire in the grate, bit of a chill out tonight, isn't there, now?",['same as chill']
chime in,Feel free to chime in if you’ve got something to add.,['to join a conversation by saying something']
chime in,"If there's something you think I haven't covered, chime in when I'm through.",['to join a conversation by saying something']
chip away,She was chipping away at the ground with a trowel.,"['to gradually make something weaker, smaller, or less effective', 'to remove small pieces from something hard by hitting it with a tool']"
chip away,Use a hammer to chip away the edge.,"['to gradually make something weaker, smaller, or less effective', 'to remove small pieces from something hard by hitting it with a tool']"
chip away at,She was chipping away at the ground with a trowel.,"['to gradually make something weaker, smaller, or less effective', 'to remove small pieces from something hard by hitting it with a tool']"
chip away at,Use a hammer to chip away the edge.,"['to gradually make something weaker, smaller, or less effective', 'to remove small pieces from something hard by hitting it with a tool']"
chip in,"Before anyone else could chip in with their tuppence worth, Neil came in.","['if people chip in, they each give some money to help pay for something', 'to add something to someone else’s conversation']"
chip in,"‘Give her a kiss, Robbie,’ chipped in one of the photographers.","['if people chip in, they each give some money to help pay for something', 'to add something to someone else’s conversation']"
chip off,Chip off any loose paint.,['to remove small pieces of something from a surface by hitting it']
choke back,"It was all I could do to choke back a sob, and pinch my lips tight shut to stop them trembling.",['to stop yourself from showing a feeling or emotion']
choke back,"So I went to the airport to see if I could catch him there, threaten him with exposure...' She tried to choke back tears and failed.",['to stop yourself from showing a feeling or emotion']
choke down,Gail tried to choke down the urge to hit him.,"['same as choke', 'to eat or drink something with difficulty because you do not like it or because you are ill or upset']"
choke down,Emma managed to choke down a banana.,"['same as choke', 'to eat or drink something with difficulty because you do not like it or because you are ill or upset']"
choke up,"When we met again after five years, I just choked up.","['if someone chokes up, or if something chokes them up, they cannot speak because they are starting to cry', 'same as choke']"
choke up,Cars and trucks are choking up our streets.,"['if someone chokes up, or if something chokes them up, they cannot speak because they are starting to cry', 'same as choke']"
chop up,"After all, simply chopping up beetroot gives you pretty much the same effect.",['same as chop']
chop up,Chop up the fruit and mix with the syrup to make a compote.,['same as chop']
chow down,They chowed down on pizza after the game.,"['to eat food, especially a lot of food, quickly or in an enthusiastic way']"
chuck away,They just get chucked away.,"['same as chuck', 'to waste an advantage or an opportunity you have']"
chuck away,We’ve given you the best education money can buy – don’t chuck it all away.,"['same as chuck', 'to waste an advantage or an opportunity you have']"
chuck in,"I might even, who knows, chuck in my job and go back to nursing.",['to leave or give up something']
chuck in,She decided to chuck in her job.,['to leave or give up something']
chuck out,I chucked out all the newspapers yesterday.,"['same as chuck', 'to force someone to leave a place or a job, usually because they have done something wrong']"
chuck out,He was chucked out of office for taking bribes.,"['same as chuck', 'to force someone to leave a place or a job, usually because they have done something wrong']"
churn out,He churns out a blockbuster film once a year.,['to produce something in large quantities quickly and often carelessly']
churn up,Running into his old girlfriend churned up a lot of buried feelings.,"['same as churn', 'to damage the surface of the ground by walking or driving over it and making it rough', 'to produce strong emotions in someone']"
churn up,The rainstorm churned up the rivers so they ran brown with silt.,"['same as churn', 'to damage the surface of the ground by walking or driving over it and making it rough', 'to produce strong emotions in someone']"
claim back,You can claim back the tax on these items.,"['to say that you want someone to give something, often money you have paid, back to you']"
clam up,But she clams up when anyone tries to ask her about it.,"['to suddenly stop talking or explaining something, because you are embarrassed, unhappy, or want to keep a secret']"
clam up,He clammed up when I asked him who else was involved.,"['to suddenly stop talking or explaining something, because you are embarrassed, unhappy, or want to keep a secret']"
clamp down,I could feel myself lshivering slightly and had to clamp down hard on my teeth to keep them from chattering.,['to make a determined attempt to stop people doing something bad or illegal']
clamp down,The government plans to clamp down on illegal militant groups.,['to make a determined attempt to stop people doing something bad or illegal']
clamp down on,The government plans to clamp down on illegal militant groups.,['to make a determined attempt to stop people doing something bad or illegal']
clap in,The regime’s response was to clap people in jail.,['to suddenly put someone somewhere that they cannot escape from']
clap out,Ask your students to clap out the rhythm of the song.,['to hit your hands together at the same speed and beat as a piece of music or poetry']
claw back,"Although bonus money is accrued during the course of the year, it can be clawed back again by the bank if the fourth quarter proves especially tough.","['if a government or company claws back money after losing it, it gets it again, for example by making people pay higher taxes or charging higher prices', 'to get something again that you had lost such as power, especially gradually and with difficulty']"
claw back,How's he going to claw back?,"['if a government or company claws back money after losing it, it gets it again, for example by making people pay higher taxes or charging higher prices', 'to get something again that you had lost such as power, especially gradually and with difficulty']"
clean down,Clean down all the timbers before you spray them.,"['to remove the dirt from something, especially from an upright surface']"
clean out,They spent the day cleaning out the garage.,"['to empty a place of objects or goods, especially by stealing or buying them in large quantities', 'to make a place or container clean or tidy by removing objects that are not wanted and getting rid of any dirt or dust in it', 'to remove objects from a place or container in order to make it tidy', 'to use all of someone’s money']"
clean out,Government soldiers moved in and cleaned the village out.,"['to empty a place of objects or goods, especially by stealing or buying them in large quantities', 'to make a place or container clean or tidy by removing objects that are not wanted and getting rid of any dirt or dust in it', 'to remove objects from a place or container in order to make it tidy', 'to use all of someone’s money']"
clean up,We really ought to make a start on getting this place cleaned up.,"['to make a lot of money', 'to make a place completely clean and tidy', 'to remove objects from a place in order to make it completely clean and tidy', 'to remove pollution from a place or an industrial process', 'to start behaving in a more suitable and sensible way', 'to stop bad, unfair, or criminal behaviour in a place or activity', 'to wash someone who is dirty']"
clean up,We need a systematic plan for identifying and cleaning up waste sites.,"['to make a lot of money', 'to make a place completely clean and tidy', 'to remove objects from a place in order to make it completely clean and tidy', 'to remove pollution from a place or an industrial process', 'to start behaving in a more suitable and sensible way', 'to stop bad, unfair, or criminal behaviour in a place or activity', 'to wash someone who is dirty']"
clean up after,Residents have been told to clean up after their dogs.,['to clean a place after someone has made it dirty or untidy']
clean up after,Of course the dog owner cleans up after his dirty dog as happily and naturally as the parent of a baby changes a nappy.,['to clean a place after someone has made it dirty or untidy']
clear away,A young woman cleared away their empty cups.,['to remove something that you have finished using or no longer want in order to make a place tidy']
clear away,The fug of Naples must have been blown clear away today.,['to remove something that you have finished using or no longer want in order to make a place tidy']
clear off,"""the Head queried as she helped to clear off the great desk.","['to leave a place quickly', 'used for telling someone rudely to go away']"
clear off,"But I'd thought Baz would be like the others and just clear off, so I, er, carried on...' Lola couldn't speak.","['to leave a place quickly', 'used for telling someone rudely to go away']"
clear out,It would give the gunships fifteen minutes to clear out any opposition to the rescue attempt.,"['to leave a place quickly and often permanently', 'to make a place or container clean or tidy by removing things that are not wanted and getting rid of any dirt or dust in it', 'to remove things that are not wanted from a place or container in order to make it tidy', 'used for telling someone rudely to leave a room or building']"
clear out,"And when the littler kids clear out, the teenagers slip in for a bit of illicit love beneath the stars.","['to leave a place quickly and often permanently', 'to make a place or container clean or tidy by removing things that are not wanted and getting rid of any dirt or dust in it', 'to remove things that are not wanted from a place or container in order to make it tidy', 'used for telling someone rudely to leave a room or building']"
clear up,Your skill in clearing up the misunderstandings that shadow a family relationship are important.,"['if an illness clears up, or if something clears it up, you stop being affected by it', 'if the weather clears up, the clouds or rain go away', 'to make a place tidy by removing things that you have finished using or no longer want', 'to solve a problem or a mystery']"
clear up,You can talk to the family in a way that clears up money misunderstandings.,"['if an illness clears up, or if something clears it up, you stop being affected by it', 'if the weather clears up, the clouds or rain go away', 'to make a place tidy by removing things that you have finished using or no longer want', 'to solve a problem or a mystery']"
clear up after,I’m sick to death of clearing up after you.,['to make a place tidy after someone else has made it untidy']
climb down,"No, Gareth, your reason's not strong enough for the sort of climb-down it'll require from me.","['to admit that you were wrong, especially after expressing an opinion or argument very firmly']"
climb down,When Charles saw it he started to climb down from the table.,"['to admit that you were wrong, especially after expressing an opinion or argument very firmly']"
